url,game
https://www.zeldadungeon.net/the-legend-of-zelda-walkthrough/the-gathering/,The Legend of Zelda
https://www.zeldadungeon.net/the-legend-of-zelda-walkthrough/level-1-the-eagle/,The Legend of Zelda
https://www.zeldadungeon.net/the-legend-of-zelda-walkthrough/level-2-the-moon/,The Legend of Zelda
https://www.zeldadungeon.net/the-legend-of-zelda-walkthrough/level-3-the-manji/,The Legend of Zelda
https://www.zeldadungeon.net/the-legend-of-zelda-walkthrough/level-4-the-snake/,The Legend of Zelda
https://www.zeldadungeon.net/the-legend-of-zelda-walkthrough/level-5-the-lizard/,The Legend of Zelda
https://www.zeldadungeon.net/the-legend-of-zelda-walkthrough/level-6-the-dragon/,The Legend of Zelda
https://www.zeldadungeon.net/the-legend-of-zelda-walkthrough/level-7-the-demon/,The Legend of Zelda
https://www.zeldadungeon.net/the-legend-of-zelda-walkthrough/level-8-the-lion/,The Legend of Zelda
https://www.zeldadungeon.net/the-legend-of-zelda-walkthrough/level-9-death-mountain/,The Legend of Zelda
https://www.zeldadungeon.net/the-adventure-of-link-walkthrough/parapa-palace/,Adventure of Link
https://www.zeldadungeon.net/the-adventure-of-link-walkthrough/midoro-palace/,Adventure of Link
https://www.zeldadungeon.net/the-adventure-of-link-walkthrough/island-palace/,Adventure of Link
https://www.zeldadungeon.net/the-adventure-of-link-walkthrough/maze-palace/,Adventure of Link
https://www.zeldadungeon.net/the-adventure-of-link-walkthrough/ocean-palace/,Adventure of Link
https://www.zeldadungeon.net/the-adventure-of-link-walkthrough/hidden-palace/,Adventure of Link
https://www.zeldadungeon.net/the-adventure-of-link-walkthrough/great-palace/,Adventure of Link
https://www.zeldadungeon.net/a-link-to-the-past-walkthrough/zeldas-rescue/,A Link to the Past
https://www.zeldadungeon.net/a-link-to-the-past-walkthrough/eastern-palace/,A Link to the Past
https://www.zeldadungeon.net/a-link-to-the-past-walkthrough/desert-palace/,A Link to the Past
https://www.zeldadungeon.net/a-link-to-the-past-walkthrough/tower-of-hera/,A Link to the Past
https://www.zeldadungeon.net/a-link-to-the-past-walkthrough/hyrule-castle-tower/,A Link to the Past
https://www.zeldadungeon.net/a-link-to-the-past-walkthrough/dark-palace/,A Link to the Past
https://www.zeldadungeon.net/a-link-to-the-past-walkthrough/swamp-palace/,A Link to the Past
https://www.zeldadungeon.net/a-link-to-the-past-walkthrough/skull-woods/,A Link to the Past
https://www.zeldadungeon.net/a-link-to-the-past-walkthrough/gargoyles-domain/,A Link to the Past
https://www.zeldadungeon.net/a-link-to-the-past-walkthrough/ice-palace/,A Link to the Past
https://www.zeldadungeon.net/a-link-to-the-past-walkthrough/misery-mire/,A Link to the Past
https://www.zeldadungeon.net/a-link-to-the-past-walkthrough/turtle-rock/,A Link to the Past
https://www.zeldadungeon.net/a-link-to-the-past-walkthrough/ganons-tower/,A Link to the Past
https://www.zeldadungeon.net/links-awakening-walkthrough/tail-cave/,Link's Awakening
https://www.zeldadungeon.net/links-awakening-walkthrough/bottle-grotto/,Link's Awakening
https://www.zeldadungeon.net/links-awakening-walkthrough/key-cavern/,Link's Awakening
https://www.zeldadungeon.net/links-awakening-walkthrough/anglers-tunnel/,Link's Awakening
https://www.zeldadungeon.net/links-awakening-walkthrough/catfishs-maw/,Link's Awakening
https://www.zeldadungeon.net/links-awakening-walkthrough/face-shrine/,Link's Awakening
https://www.zeldadungeon.net/links-awakening-walkthrough/eagles-tower/,Link's Awakening
https://www.zeldadungeon.net/links-awakening-walkthrough/turtle-rock/,Link's Awakening
https://www.zeldadungeon.net/links-awakening-walkthrough/the-awakening/,Link's Awakening
https://www.zeldadungeon.net/ocarina-of-time-walkthrough/inside-the-great-deku-tree/,Ocarina of Time
https://www.zeldadungeon.net/ocarina-of-time-walkthrough/princess-of-destiny/,Ocarina of Time
https://www.zeldadungeon.net/ocarina-of-time-walkthrough/the-mighty-collection/,Ocarina of Time
https://www.zeldadungeon.net/ocarina-of-time-walkthrough/dodongos-cavern/,Ocarina of Time
https://www.zeldadungeon.net/ocarina-of-time-walkthrough/inside-jabu-jabus-belly/,Ocarina of Time
https://www.zeldadungeon.net/ocarina-of-time-walkthrough/timely-appearance/,Ocarina of Time
